"Nama Obat: Sanmol | Kekuatan: 500 mg | Kandungan: Paracetamol | Tipe: Bermerek | Fungsi: Meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, dan menurunkan demam","{""nama_obat"": ""Sanmol"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Paracetamol"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, dan menurunkan demam""}"
"Nama Obat: Provera | Kekuatan: 10 mg | Kandungan: Medroxyprogesterone acetate | Tipe: Bermerek | Fungsi: Mengobati gangguan siklus menstruasi dan perdarahan uterus abnormal","{""nama_obat"": ""Provera"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Medroxyprogesterone acetate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati gangguan siklus menstruasi dan perdarahan uterus abnormal""}"
"Nama Obat: Movi-cox | Kekuatan: 15 mg | Kandungan: Meloxicam | Tipe: Bermerek | Fungsi: Mengobati peradangan dan nyeri pada pasien osteoartritis dan rheumatoid artritis","{""nama_obat"": ""Movi-cox"", ""kekuatan_obat"": ""15 mg"", ""kandungan"": ""Meloxicam"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati peradangan dan nyeri pada pasien osteoartritis dan rheumatoid artritis""}"
"Nama Obat: Tensinop | Kekuatan: 10 mg | Kandungan: Lisinopril Dihydrate | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan gagal jantung kongestif","{""nama_obat"": ""Tensinop"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Lisinopril Dihydrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan gagal jantung kongestif""}"
"Nama Obat: Interpril | Kekuatan: 10 mg | Kandungan: Lisinopril Dihydrate | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial dan gagal jantung","{""nama_obat"": ""Interpril"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Lisinopril Dihydrate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial dan gagal jantung""}"
"Nama Obat: Loparta | Kekuatan: 200 mg / 50 mg | Kandungan: Lopinavir / Ritonavir | Tipe: Generik | Fungsi: Mengobati infeksi HIV-1 pada dewasa dan anak-anak","{""nama_obat"": ""Loparta"", ""kekuatan_obat"": ""200 mg / 50 mg"", ""kandungan"": ""Lopinavir / Ritonavir"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati infeksi HIV-1 pada dewasa dan anak-anak""}"
"Nama Obat: Lopivia | Kekuatan: 200 mg / 50 mg | Kandungan: Lopinavir / Ritonavir | Tipe: Generik | Fungsi: Terapi infeksi virus HIV-1","{""nama_obat"": ""Lopivia"", ""kekuatan_obat"": ""200 mg / 50 mg"", ""kandungan"": ""Lopinavir / Ritonavir"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi infeksi virus HIV-1""}"
"Nama Obat: Ritocom | Kekuatan: 100 mg / 50 mg | Kandungan: Lopinavir / Ritonavir | Tipe: Generik | Fungsi: Terapi infeksi virus HIV-1","{""nama_obat"": ""Ritocom"", ""kekuatan_obat"": ""100 mg / 50 mg"", ""kandungan"": ""Lopinavir / Ritonavir"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi infeksi virus HIV-1""}"
"Nama Obat: Acetensa | Kekuatan: 50 mg | Kandungan: Losartan Potassium | Tipe: Bermerek | Fungsi: Mengobati hipertensi esensial","{""nama_obat"": ""Acetensa"", ""kekuatan_obat"": ""50 mg"", ""kandungan"": ""Losartan Potassium"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengobati hipertensi esensial""}"
"Nama Obat: Amlodipine Besilate | Kekuatan: 5 mg | Kandungan: Amlodipine Besilate | Tipe: Generik | Fungsi: Mengobati tekanan darah tinggi (hipertensi) dan angina","{""nama_obat"": ""Amlodipine Besilate"", ""kekuatan_obat"": ""5 mg"", ""kandungan"": ""Amlodipine Besilate"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati tekanan darah tinggi (hipertensi) dan angina""}"
"Nama Obat: Amlodipine Besilate | Kekuatan: 10 mg | Kandungan: Amlodipine Besilate | Tipe: Generik | Fungsi: Mengobati tekanan darah tinggi dan menurunkan beban kerja jantung","{""nama_obat"": ""Amlodipine Besilate"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Amlodipine Besilate"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati tekanan darah tinggi dan menurunkan beban kerja jantung""}"
"Nama Obat: Metformin | Kekuatan: 500 mg | Kandungan: Metformin HCl | Tipe: Generik | Fungsi: Terapi lini pertama untuk mengelola diabetes melitus tipe 2","{""nama_obat"": ""Metformin"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Metformin HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi lini pertama untuk mengelola diabetes melitus tipe 2""}"
"Nama Obat: Metformin | Kekuatan: 850 mg | Kandungan: Metformin HCl | Tipe: Generik | Fungsi: Mengurangi produksi glukosa oleh hati dan meningkatkan sensitivitas terhadap insulin","{""nama_obat"": ""Metformin"", ""kekuatan_obat"": ""850 mg"", ""kandungan"": ""Metformin HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Mengurangi produksi glukosa oleh hati dan meningkatkan sensitivitas terhadap insulin""}"
"Nama Obat: Captopril | Kekuatan: 12,5 mg | Kandungan: Captopril | Tipe: Generik | Fungsi: Mengobati tekanan darah tinggi (hipertensi) dan gagal jantung","{""nama_obat"": ""Captopril"", ""kekuatan_obat"": ""12,5 mg"", ""kandungan"": ""Captopril"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati tekanan darah tinggi (hipertensi) dan gagal jantung""}"
"Nama Obat: Captopril | Kekuatan: 25 mg | Kandungan: Captopril | Tipe: Generik | Fungsi: Mengobati hipertensi esensial dan gagal jantung kongestif","{""nama_obat"": ""Captopril"", ""kekuatan_obat"": ""25 mg"", ""kandungan"": ""Captopril"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati hipertensi esensial dan gagal jantung kongestif""}"
"Nama Obat: Captopril | Kekuatan: 50 mg | Kandungan: Captopril | Tipe: Generik | Fungsi: Menurunkan tekanan darah tinggi pada kondisi hipertensi berat","{""nama_obat"": ""Captopril"", ""kekuatan_obat"": ""50 mg"", ""kandungan"": ""Captopril"", ""tipe"": ""Generik"", ""fungsi"": ""Menurunkan tekanan darah tinggi pada kondisi hipertensi berat""}"
"Nama Obat: Candesartan | Kekuatan: 8 mg | Kandungan: Candesartan Cilexetil | Tipe: Generik | Fungsi: Mengobati hipertensi esensial dan gagal jantung kongestif","{""nama_obat"": ""Candesartan"", ""kekuatan_obat"": ""8 mg"", ""kandungan"": ""Candesartan Cilexetil"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati hipertensi esensial dan gagal jantung kongestif""}"
"Nama Obat: Candesartan | Kekuatan: 16 mg | Kandungan: Candesartan Cilexetil | Tipe: Generik | Fungsi: Mengobati hipertensi berat dan mengurangi mortalitas akibat kardiovaskular","{""nama_obat"": ""Candesartan"", ""kekuatan_obat"": ""16 mg"", ""kandungan"": ""Candesartan Cilexetil"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati hipertensi berat dan mengurangi mortalitas akibat kardiovaskular""}"
"Nama Obat: Atorvastatin | Kekuatan: 10 mg | Kandungan: Atorvastatin Calcium | Tipe: Generik | Fungsi: Menurunkan kadar kolesterol total, LDL, apolipoprotein B, dan trigliserida","{""nama_obat"": ""Atorvastatin"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Atorvastatin Calcium"", ""tipe"": ""Generik"", ""fungsi"": ""Menurunkan kadar kolesterol total, LDL, apolipoprotein B, dan trigliserida""}"
"Nama Obat: Atorvastatin | Kekuatan: 20 mg | Kandungan: Atorvastatin Calcium | Tipe: Generik | Fungsi: Terapi tambahan penurunan kadar lipid darah yang tinggi (hiperkolesterolemia)","{""nama_obat"": ""Atorvastatin"", ""kekuatan_obat"": ""20 mg"", ""kandungan"": ""Atorvastatin Calcium"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi tambahan penurunan kadar lipid darah yang tinggi (hiperkolesterolemia)""}"
"Nama Obat: Cetirizine | Kekuatan: 10 mg | Kandungan: Cetirizine HCl | Tipe: Generik | Fungsi: Meredakan gejala alergi seperti bersin, gatal, rinitis alergi, dan ruam","{""nama_obat"": ""Cetirizine"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Cetirizine HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Meredakan gejala alergi seperti bersin, gatal, rinitis alergi, dan ruam""}"
"Nama Obat: Paracetamol | Kekuatan: 500 mg | Kandungan: Paracetamol | Tipe: Generik | Fungsi: Sebagai pereda nyeri (analgesik) dan penurun demam (antipiretik)","{""nama_obat"": ""Paracetamol"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Paracetamol"", ""tipe"": ""Generik"", ""fungsi"": ""Sebagai pereda nyeri (analgesik) dan penurun demam (antipiretik)""}"
"Nama Obat: Asam Mefenamat | Kekuatan: 500 mg | Kandungan: Asam Mefenamat | Tipe: Generik | Fungsi: Meredakan nyeri ringan sampai sedang dan peradangan","{""nama_obat"": ""Asam Mefenamat"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Asam Mefenamat"", ""tipe"": ""Generik"", ""fungsi"": ""Meredakan nyeri ringan sampai sedang dan peradangan""}"
"Nama Obat: Meloxicam | Kekuatan: 7,5 mg | Kandungan: Meloxicam | Tipe: Generik | Fungsi: Mengobati peradangan dan nyeri pada pasien osteoartritis dan rheumatoid artritis","{""nama_obat"": ""Meloxicam"", ""kekuatan_obat"": ""7,5 mg"", ""kandungan"": ""Meloxicam"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati peradangan dan nyeri pada pasien osteoartritis dan rheumatoid artritis""}"
"Nama Obat: Meloxicam | Kekuatan: 15 mg | Kandungan: Meloxicam | Tipe: Generik | Fungsi: Mengurangi nyeri, kekakuan, dan pembengkakan sendi akibat penyakit rematik","{""nama_obat"": ""Meloxicam"", ""kekuatan_obat"": ""15 mg"", ""kandungan"": ""Meloxicam"", ""tipe"": ""Generik"", ""fungsi"": ""Mengurangi nyeri, kekakuan, dan pembengkakan sendi akibat penyakit rematik""}"
"Nama Obat: Dexamethasone | Kekuatan: 0,5 mg | Kandungan: Dexamethasone | Tipe: Generik | Fungsi: Sebagai zat antiinflamasi berat, mengatasi kondisi alergi, dan imunosupresan","{""nama_obat"": ""Dexamethasone"", ""kekuatan_obat"": ""0,5 mg"", ""kandungan"": ""Dexamethasone"", ""tipe"": ""Generik"", ""fungsi"": ""Sebagai zat antiinflamasi berat, mengatasi kondisi alergi, dan imunosupresan""}"
"Nama Obat: Allopurinol | Kekuatan: 100 mg | Kandungan: Allopurinol | Tipe: Generik | Fungsi: Mengatasi penumpukan asam urat kronis (bukan untuk gout akut)","{""nama_obat"": ""Allopurinol"", ""kekuatan_obat"": ""100 mg"", ""kandungan"": ""Allopurinol"", ""tipe"": ""Generik"", ""fungsi"": ""Mengatasi penumpukan asam urat kronis (bukan untuk gout akut)""}"
"Nama Obat: Allopurinol | Kekuatan: 300 mg | Kandungan: Allopurinol | Tipe: Generik | Fungsi: Mengobati kondisi hiperurisemia primer dan sekunder kronis","{""nama_obat"": ""Allopurinol"", ""kekuatan_obat"": ""300 mg"", ""kandungan"": ""Allopurinol"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati kondisi hiperurisemia primer dan sekunder kronis""}"
"Nama Obat: Clopidogrel | Kekuatan: 75 mg | Kandungan: Clopidogrel | Tipe: Generik | Fungsi: Mencegah kejadian pembekuan darah (antiplatelet) pada pasien stroke dan jantung","{""nama_obat"": ""Clopidogrel"", ""kekuatan_obat"": ""75 mg"", ""kandungan"": ""Clopidogrel"", ""tipe"": ""Generik"", ""fungsi"": ""Mencegah kejadian pembekuan darah (antiplatelet) pada pasien stroke dan jantung""}"
"Nama Obat: Lisinopril Dihydrate | Kekuatan: 10 mg | Kandungan: Lisinopril Dihydrate | Tipe: Generik | Fungsi: Mengobati tekanan darah tinggi dan gagal jantung","{""nama_obat"": ""Lisinopril Dihydrate"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Lisinopril Dihydrate"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati tekanan darah tinggi dan gagal jantung""}"
"Nama Obat: Methylprednisolone | Kekuatan: 4 mg | Kandungan: Methylprednisolone | Tipe: Generik | Fungsi: Meredakan gejala alergi, peradangan, dan menekan aktivitas sistem imun","{""nama_obat"": ""Methylprednisolone"", ""kekuatan_obat"": ""4 mg"", ""kandungan"": ""Methylprednisolone"", ""tipe"": ""Generik"", ""fungsi"": ""Meredakan gejala alergi, peradangan, dan menekan aktivitas sistem imun""}"
"Nama Obat: Methylprednisolone | Kekuatan: 16 mg | Kandungan: Methylprednisolone | Tipe: Generik | Fungsi: Terapi antiinflamasi dosis tinggi pada penyakit autoimun atau alergi berat","{""nama_obat"": ""Methylprednisolone"", ""kekuatan_obat"": ""16 mg"", ""kandungan"": ""Methylprednisolone"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi antiinflamasi dosis tinggi pada penyakit autoimun atau alergi berat""}"
"Nama Obat: Glimepiride | Kekuatan: 1 mg | Kandungan: Glimepiride | Tipe: Generik | Fungsi: Mengontrol kadar gula darah pada pasien diabetes melitus tipe 2","{""nama_obat"": ""Glimepiride"", ""kekuatan_obat"": ""1 mg"", ""kandungan"": ""Glimepiride"", ""tipe"": ""Generik"", ""fungsi"": ""Mengontrol kadar gula darah pada pasien diabetes melitus tipe 2""}"
"Nama Obat: Glimepiride | Kekuatan: 2 mg | Kandungan: Glimepiride | Tipe: Generik | Fungsi: Menurunkan kadar gula darah pada pasien diabetes melitus tipe 2","{""nama_obat"": ""Glimepiride"", ""kekuatan_obat"": ""2 mg"", ""kandungan"": ""Glimepiride"", ""tipe"": ""Generik"", ""fungsi"": ""Menurunkan kadar gula darah pada pasien diabetes melitus tipe 2""}"
"Nama Obat: Glimepiride | Kekuatan: 3 mg | Kandungan: Glimepiride | Tipe: Generik | Fungsi: Terapi penunjang diet untuk mengontrol gula darah penderita diabetes tipe 2","{""nama_obat"": ""Glimepiride"", ""kekuatan_obat"": ""3 mg"", ""kandungan"": ""Glimepiride"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi penunjang diet untuk mengontrol gula darah penderita diabetes tipe 2""}"
"Nama Obat: Glimepiride | Kekuatan: 4 mg | Kandungan: Glimepiride | Tipe: Generik | Fungsi: Terapi diabetes melitus tipe 2 dosis tinggi untuk kontrol glikemik","{""nama_obat"": ""Glimepiride"", ""kekuatan_obat"": ""4 mg"", ""kandungan"": ""Glimepiride"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi diabetes melitus tipe 2 dosis tinggi untuk kontrol glikemik""}"
"Nama Obat: Azithromycin | Kekuatan: 500 mg | Kandungan: Azithromycin Dihydrate | Tipe: Generik | Fungsi: Antibiotik untuk mengobati infeksi bakteri saluran napas, telinga, dan kulit","{""nama_obat"": ""Azithromycin"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Azithromycin Dihydrate"", ""tipe"": ""Generik"", ""fungsi"": ""Antibiotik untuk mengobati infeksi bakteri saluran napas, telinga, dan kulit""}"
"Nama Obat: Cefixime | Kekuatan: 100 mg | Kandungan: Cefixime Trihydrate | Tipe: Generik | Fungsi: Antibiotik untuk infeksi saluran kemih, otitis media, dan faringitis","{""nama_obat"": ""Cefixime"", ""kekuatan_obat"": ""100 mg"", ""kandungan"": ""Cefixime Trihydrate"", ""tipe"": ""Generik"", ""fungsi"": ""Antibiotik untuk infeksi saluran kemih, otitis media, dan faringitis""}"
"Nama Obat: Cefixime | Kekuatan: 200 mg | Kandungan: Cefixime Trihydrate | Tipe: Generik | Fungsi: Antibiotik sefalosporin spektrum luas untuk mengatasi infeksi bakteri","{""nama_obat"": ""Cefixime"", ""kekuatan_obat"": ""200 mg"", ""kandungan"": ""Cefixime Trihydrate"", ""tipe"": ""Generik"", ""fungsi"": ""Antibiotik sefalosporin spektrum luas untuk mengatasi infeksi bakteri""}"
"Nama Obat: Clindamycin | Kekuatan: 150 mg | Kandungan: Clindamycin HCl | Tipe: Generik | Fungsi: Antibiotik untuk infeksi serius akibat bakteri anaerob rentan","{""nama_obat"": ""Clindamycin"", ""kekuatan_obat"": ""150 mg"", ""kandungan"": ""Clindamycin HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Antibiotik untuk infeksi serius akibat bakteri anaerob rentan""}"
"Nama Obat: Clindamycin | Kekuatan: 300 mg | Kandungan: Clindamycin HCl | Tipe: Generik | Fungsi: Antibiotik untuk mengatasi infeksi bakteri pada tulang, sendi, dan kulit","{""nama_obat"": ""Clindamycin"", ""kekuatan_obat"": ""300 mg"", ""kandungan"": ""Clindamycin HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Antibiotik untuk mengatasi infeksi bakteri pada tulang, sendi, dan kulit""}"
"Nama Obat: Domperidone | Kekuatan: 10 mg | Kandungan: Domperidone | Tipe: Generik | Fungsi: Meredakan mual dan muntah akut serta meredakan dispepsia fungsional","{""nama_obat"": ""Domperidone"", ""kekuatan_obat"": ""10 mg"", ""kandungan"": ""Domperidone"", ""tipe"": ""Generik"", ""fungsi"": ""Meredakan mual dan muntah akut serta meredakan dispepsia fungsional""}"
"Nama Obat: Ketoconazole | Kekuatan: 200 mg | Kandungan: Ketoconazole | Tipe: Generik | Fungsi: Antijamur sistemik untuk mengatasi infeksi jamur dermatofit","{""nama_obat"": ""Ketoconazole"", ""kekuatan_obat"": ""200 mg"", ""kandungan"": ""Ketoconazole"", ""tipe"": ""Generik"", ""fungsi"": ""Antijamur sistemik untuk mengatasi infeksi jamur dermatofit""}"
"Nama Obat: Ondansetron | Kekuatan: 4 mg | Kandungan: Ondansetron HCl | Tipe: Generik | Fungsi: Mencegah mual dan muntah akibat kemoterapi atau pascaoperasi","{""nama_obat"": ""Ondansetron"", ""kekuatan_obat"": ""4 mg"", ""kandungan"": ""Ondansetron HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Mencegah mual dan muntah akibat kemoterapi atau pascaoperasi""}"
"Nama Obat: Ondansetron | Kekuatan: 8 mg | Kandungan: Ondansetron HCl | Tipe: Generik | Fungsi: Antiemetik kuat pencegah mual akibat radioterapi dan kemoterapi emetogenik","{""nama_obat"": ""Ondansetron"", ""kekuatan_obat"": ""8 mg"", ""kandungan"": ""Ondansetron HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Antiemetik kuat pencegah mual akibat radioterapi dan kemoterapi emetogenik""}"
"Nama Obat: Ranitidine Injeksi | Kekuatan: 25 mg/ml | Kandungan: Ranitidine HCl | Tipe: Generik | Fungsi: Mengurangi sekresi asam lambung berlebih dan tukak lambung aktif","{""nama_obat"": ""Ranitidine Injeksi"", ""kekuatan_obat"": ""25 mg/ml"", ""kandungan"": ""Ranitidine HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Mengurangi sekresi asam lambung berlebih dan tukak lambung aktif""}"
"Nama Obat: Furosemide | Kekuatan: 40 mg | Kandungan: Furosemide | Tipe: Generik | Fungsi: Mengatasi edema akibat gagal jantung, sirosis, dan gangguan ginjal","{""nama_obat"": ""Furosemide"", ""kekuatan_obat"": ""40 mg"", ""kandungan"": ""Furosemide"", ""tipe"": ""Generik"", ""fungsi"": ""Mengatasi edema akibat gagal jantung, sirosis, dan gangguan ginjal""}"
"Nama Obat: Furosemide Injeksi | Kekuatan: 10 mg/ml | Kandungan: Furosemide | Tipe: Generik | Fungsi: Terapi edema akut yang membutuhkan efek diuresis cepat","{""nama_obat"": ""Furosemide Injeksi"", ""kekuatan_obat"": ""10 mg/ml"", ""kandungan"": ""Furosemide"", ""tipe"": ""Generik"", ""fungsi"": ""Terapi edema akut yang membutuhkan efek diuresis cepat""}"
"Nama Obat: Glikuidon | Kekuatan: 30 mg | Kandungan: Gliquidone | Tipe: Generik | Fungsi: Mengontrol kadar gula darah pada pasien diabetes melitus tipe 2","{""nama_obat"": ""Glikuidon"", ""kekuatan_obat"": ""30 mg"", ""kandungan"": ""Gliquidone"", ""tipe"": ""Generik"", ""fungsi"": ""Mengontrol kadar gula darah pada pasien diabetes melitus tipe 2""}"
"Nama Obat: Glibenklamid | Kekuatan: 5 mg | Kandungan: Glibenclamide | Tipe: Generik | Fungsi: Menurunkan kadar gula darah pada penderita diabetes tipe 2","{""nama_obat"": ""Glibenklamid"", ""kekuatan_obat"": ""5 mg"", ""kandungan"": ""Glibenclamide"", ""tipe"": ""Generik"", ""fungsi"": ""Menurunkan kadar gula darah pada penderita diabetes tipe 2""}"
"Nama Obat: Fluoxetine | Kekuatan: 20 mg | Kandungan: Fluoxetine HCl | Tipe: Generik | Fungsi: Mengobati depresi mayor, gangguan obsesif-kompulsif (OCD), dan bulimia","{""nama_obat"": ""Fluoxetine"", ""kekuatan_obat"": ""20 mg"", ""kandungan"": ""Fluoxetine HCl"", ""tipe"": ""Generik"", ""fungsi"": ""Mengobati depresi mayor, gangguan obsesif-kompulsif (OCD), dan bulimia""}"
"Nama Obat: Oralit | Kekuatan: Standar | Kandungan: Kombinasi Elektrolit, Glukosa Anhidrat | Tipe: Generik | Fungsi: Mencegah dan mengobati dehidrasi akibat diare dan muntaber","{""nama_obat"": ""Oralit"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Kombinasi Elektrolit, Glukosa Anhidrat"", ""tipe"": ""Generik"", ""fungsi"": ""Mencegah dan mengobati dehidrasi akibat diare dan muntaber""}"
